area,size_marla,bedrooms,bathrooms,property_age,has_garage,has_servant_quarter,has_basement,corner_plot,near_park,gated_society,property_type,price_lakhs
Model Town,19.9,4,3,8,1,1,0,0,0,0,House,2808.62
Faisal Town,19.6,4,3,5,1,1,0,0,0,0,House,1425.36
Johar Town,40.0,5,5,3,1,1,0,0,0,0,House,4029.69
Allama Iqbal Town,9.8,3,2,18,0,0,0,0,1,0,Upper Portion,625.95
Johar Town,39.9,7,6,5,1,0,1,0,0,0,House,3713.32
Johar Town,5.1,4,4,8,1,0,1,0,0,0,Upper Portion,563.75
Bahria Town,10.2,4,4,8,1,1,1,0,1,1,Upper Portion,1260.7
Gulberg III-V,6.6,3,2,18,1,0,1,0,0,0,Lower Portion,890.41
Wapda Town,6.5,3,3,35,0,0,0,0,1,0,Lower Portion,525.68
Bahria Town,5.5,3,2,18,0,0,0,0,0,1,Upper Portion,507.0
Gulberg I-II,13.7,4,4,8,1,0,1,1,0,0,House,2828.33
Samanabad,19.6,4,3,25,1,1,0,1,0,0,House,1302.67
Johar Town,9.7,3,2,12,0,0,1,1,1,0,House,1097.33
Lake City,4.5,2,2,0,1,0,0,0,0,1,House,439.11
Samanabad,19.9,4,4,1,1,0,1,0,0,0,Upper Portion,1132.05
Garden Town,14.3,4,4,0,1,1,1,0,1,0,House,1800.06
DHA Phase 4-6,9.8,4,4,8,0,0,1,0,0,1,Flat,1282.4
Township,13.9,5,4,25,1,1,0,1,0,0,House,932.93
Garden Town,7.2,3,3,5,0,1,0,0,0,0,Flat,1066.05
Model Town,7.0,3,2,5,0,0,1,0,1,0,Upper Portion,1172.16
DHA Phase 7-9,20.4,6,5,35,1,0,0,1,0,1,House,2393.92
Allama Iqbal Town,7.4,4,3,25,1,0,1,1,1,0,House,616.73
Valencia,9.5,3,3,18,0,0,0,0,0,1,Flat,1314.77
Lake City,20.3,7,6,3,1,1,0,1,0,1,House,2201.32
Samanabad,14.0,4,3,1,1,1,1,0,0,0,Upper Portion,817.52
Allama Iqbal Town,5.5,3,3,0,1,0,0,1,1,0,House,375.2
DHA Phase 7-9,5.0,2,2,1,0,0,0,0,0,1,Flat,775.06
Model Town,5.5,4,3,3,0,0,0,0,0,0,Upper Portion,724.12
Gulberg III-V,14.3,5,4,12,1,0,0,0,0,0,House,1912.01
Wapda Town,9.7,4,4,0,0,0,0,0,0,0,Lower Portion,919.41
DHA Phase 1-3,5.0,3,2,1,1,0,0,0,0,1,Flat,992.38
Lake City,20.5,6,5,2,1,1,0,0,0,1,House,2301.74
Wapda Town,10.4,4,3,12,1,1,0,0,1,0,House,982.26
Faisal Town,6.6,3,3,12,0,1,0,0,0,0,Lower Portion,592.08
Model Town,10.2,4,4,12,1,0,0,0,0,0,House,1353.76
Allama Iqbal Town,13.8,4,4,3,1,1,0,0,0,0,House,1268.91
DHA Phase 4-6,4.5,2,2,5,0,0,0,1,1,1,House,873.25
Faisal Town,6.9,3,2,1,0,0,0,0,0,0,House,595.03
DHA Phase 4-6,19.7,4,3,3,1,1,0,0,1,1,House,3271.32
Johar Town,10.3,4,3,25,1,0,0,0,0,0,Upper Portion,1117.53
Allama Iqbal Town,9.8,4,3,35,0,0,1,0,0,0,Upper Portion,697.2
DHA Phase 7-9,10.3,4,4,12,1,1,0,0,1,1,House,1282.11
Gulberg I-II,4.5,3,2,35,0,0,0,0,0,0,House,656.12
Wapda Town,6.8,3,2,12,1,0,0,0,0,0,Lower Portion,630.96
Wapda Town,9.7,4,4,0,1,0,1,0,0,0,Upper Portion,840.72
Garden Town,6.7,3,3,35,0,0,1,0,0,0,House,831.84
Iqbal Town,4.6,2,2,1,1,1,0,0,0,0,Upper Portion,456.96
Lake City,19.7,4,4,18,1,1,0,0,0,1,House,2205.06
Gulberg III-V,40.1,5,5,3,1,1,0,0,1,0,Upper Portion,5293.23
Model Town,19.8,5,5,5,1,1,0,0,0,0,Upper Portion,3069.59
DHA Phase 7-9,19.9,5,4,12,1,1,0,0,1,1,House,2875.66
Samanabad,6.9,3,3,8,1,0,0,0,0,0,House,498.56
Valencia,40.4,5,4,3,1,1,0,0,1,1,House,3527.72
Johar Town,7.4,4,4,5,0,1,0,0,0,0,Lower Portion,755.36
Bahria Town,20.0,5,4,5,1,0,0,1,0,1,House,2567.36
Township,39.8,5,4,35,1,1,0,0,1,0,House,2703.2
DHA Phase 7-9,13.6,5,4,25,0,1,0,1,0,1,House,1530.29
Valencia,40.5,5,5,8,1,1,1,0,0,1,Upper Portion,5530.26
Bahria Town,9.6,3,3,2,1,0,1,0,0,1,Lower Portion,1325.92
Valencia,6.8,4,4,25,0,1,0,0,0,1,Upper Portion,621.37
DHA Phase 1-3,9.8,3,2,2,0,0,0,1,0,1,Flat,1955.45
Faisal Town,9.8,3,3,2,1,0,0,0,0,0,Lower Portion,823.84
Township,4.7,3,3,5,0,0,1,0,0,0,Flat,277.85
Lake City,14.3,4,3,25,1,1,0,0,0,1,House,1458.79
Iqbal Town,39.6,6,6,1,1,0,0,0,1,0,Upper Portion,3695.82
Samanabad,7.1,3,2,1,0,0,0,0,0,0,Lower Portion,370.38
Iqbal Town,19.6,4,4,8,0,0,0,0,0,0,House,1653.94
DHA Phase 7-9,19.6,5,4,3,0,1,0,0,0,1,House,2897.02
Valencia,20.4,6,5,12,1,1,0,0,0,1,House,3023.67
Valencia,39.7,5,5,8,1,1,0,0,0,1,House,5058.51
Johar Town,10.3,5,4,8,0,1,1,0,0,0,House,1101.69
Wapda Town,40.0,7,7,1,1,0,1,0,0,0,House,3535.03
Township,13.6,4,4,1,1,1,1,0,0,0,House,743.12
Township,7.5,4,4,25,0,1,0,1,1,0,House,536.45
Bahria Town,9.7,3,3,25,1,0,1,0,0,1,Flat,1102.85
DHA Phase 4-6,14.4,4,3,3,1,1,1,0,0,1,House,2789.38
Shahdara,6.7,3,2,1,0,1,1,0,0,0,Upper Portion,322.65
Allama Iqbal Town,14.4,5,4,0,1,0,1,0,0,0,House,1033.94
DHA Phase 4-6,13.5,4,4,12,1,0,0,0,0,1,Upper Portion,2358.26
Samanabad,7.0,3,3,18,1,0,1,0,0,0,Lower Portion,403.45
Faisal Town,10.3,5,4,5,1,1,0,1,0,0,House,772.81
Bahria Town,14.4,4,3,18,1,1,0,0,0,1,House,2034.26
Valencia,10.4,5,5,18,1,0,1,0,0,1,House,1221.5
Johar Town,5.3,3,3,35,0,0,0,0,1,0,House,574.73
DHA Phase 1-3,5.4,4,4,0,0,0,0,0,0,1,House,1170.0
Model Town,9.7,3,2,2,1,0,0,0,0,0,House,1109.38
Allama Iqbal Town,19.8,4,4,0,1,1,1,0,0,0,Upper Portion,1303.36
DHA Phase 1-3,6.8,4,3,25,1,0,0,0,0,1,Lower Portion,1195.22
Model Town,13.9,5,5,25,1,0,0,0,0,0,House,1654.71
Johar Town,6.9,3,2,12,0,0,1,0,1,0,House,869.29
Lake City,7.0,4,4,1,1,0,1,1,0,1,House,852.16
Samanabad,19.7,4,3,3,1,1,0,0,0,0,Upper Portion,1314.4
Model Town,14.2,4,3,3,1,1,0,0,1,0,House,2042.97
Model Town,4.7,2,2,12,1,0,0,0,0,0,House,649.74
Wapda Town,9.8,3,3,3,1,0,0,0,0,0,Lower Portion,896.56
Bahria Town,5.0,3,2,0,0,0,1,0,0,1,Upper Portion,696.96
Gulberg I-II,10.3,4,3,18,1,0,0,0,0,0,House,1599.34
Bahria Town,14.2,4,4,3,1,1,0,1,0,1,House,2053.33
DHA Phase 7-9,5.1,4,3,8,1,0,0,0,0,1,House,633.24
DHA Phase 7-9,6.7,4,3,1,0,0,0,1,1,1,House,1069.45
Bahria Town,10.0,4,4,25,1,1,0,0,0,1,Upper Portion,955.84
Johar Town,19.6,5,4,12,1,1,0,0,1,0,House,1913.43
Samanabad,39.9,7,7,35,1,1,0,0,0,0,House,2423.16
Model Town,4.9,3,2,8,0,0,0,0,0,0,House,622.17
Valencia,13.5,5,5,35,1,1,0,0,0,1,House,1615.65
Garden Town,9.8,3,2,25,0,0,0,0,0,0,Lower Portion,961.59
DHA Phase 1-3,10.5,5,4,12,0,0,0,0,0,1,Upper Portion,1714.47
Iqbal Town,14.5,4,3,35,1,1,0,1,0,0,Upper Portion,1309.72
DHA Phase 7-9,19.9,5,5,5,0,0,0,0,0,1,House,2677.8
Township,19.5,4,3,5,1,0,1,0,1,0,House,1069.62
DHA Phase 7-9,9.7,3,2,0,0,0,0,0,0,1,House,1532.41
Johar Town,9.9,4,4,12,1,1,0,0,0,0,House,873.66
DHA Phase 4-6,20.4,7,7,18,1,1,0,0,0,1,House,3292.42
Shahdara,6.6,4,4,25,1,1,0,0,1,0,House,332.21
Bahria Town,10.3,5,4,1,1,1,1,0,0,1,House,1361.17
Valencia,9.6,3,2,8,0,0,0,0,0,1,House,1183.01
DHA Phase 4-6,14.5,4,3,2,1,1,1,0,1,1,House,2451.96
Wapda Town,6.9,3,3,18,0,0,1,1,0,0,House,532.02
Gulberg I-II,7.3,3,3,2,0,1,0,0,0,0,House,1407.92
Samanabad,19.8,5,4,35,1,1,0,0,0,0,House,1162.1
Gulberg I-II,5.1,3,2,3,1,0,0,1,0,0,House,949.07
DHA Phase 7-9,9.7,3,3,3,0,0,0,0,0,1,House,1205.49
DHA Phase 1-3,6.6,3,3,25,0,1,1,0,0,1,House,1132.91
Bahria Town,5.4,3,3,8,0,0,0,0,0,1,House,776.27
Lake City,5.4,4,3,0,0,0,0,1,0,1,Lower Portion,484.48
DHA Phase 4-6,7.4,4,4,8,0,0,1,0,0,1,House,1127.22
Allama Iqbal Town,20.1,5,5,1,0,0,0,1,0,0,House,1798.84
Bahria Town,7.3,4,4,35,1,0,0,0,1,1,House,930.5
Bahria Town,19.6,4,4,12,1,1,0,0,0,1,Upper Portion,2134.62
Johar Town,9.8,4,3,3,1,0,0,1,1,0,House,1210.97
Johar Town,9.8,3,3,12,0,0,0,0,1,0,Flat,1021.84
Lake City,10.1,5,4,0,1,0,0,0,1,1,House,1203.8
DHA Phase 7-9,9.9,3,2,25,1,0,0,1,1,1,House,1396.58
DHA Phase 7-9,13.6,5,5,35,1,1,1,0,0,1,House,1965.75
Faisal Town,7.1,4,4,25,0,0,0,1,0,0,House,629.01
Township,10.3,4,3,5,1,1,1,0,0,0,Upper Portion,788.9
Johar Town,19.9,4,4,5,1,0,0,0,1,0,House,1963.0
Gulberg III-V,19.6,5,4,0,0,1,0,0,0,0,House,2820.77
Garden Town,19.7,4,4,18,0,1,0,0,0,0,House,2101.29
Johar Town,9.7,3,2,12,1,0,1,0,0,0,Upper Portion,964.36
DHA Phase 1-3,19.8,5,4,8,1,1,0,0,0,1,Upper Portion,4498.47
DHA Phase 7-9,10.1,4,3,35,1,1,1,0,1,1,House,1565.46
Iqbal Town,10.1,4,4,2,1,1,0,0,0,0,Upper Portion,838.97
Garden Town,7.2,3,2,0,1,0,0,0,0,0,Lower Portion,890.92
DHA Phase 1-3,9.9,3,2,0,0,0,0,0,0,1,House,1569.77
Gulberg I-II,7.3,3,3,3,0,1,1,0,0,0,House,1150.81
Gulberg I-II,6.7,4,4,0,1,0,0,0,0,0,Lower Portion,1170.61
Iqbal Town,20.0,4,3,8,1,0,0,0,0,0,House,1634.3
DHA Phase 1-3,7.3,3,2,5,0,0,0,0,0,1,Upper Portion,1185.38
DHA Phase 4-6,4.7,3,3,2,0,1,0,0,1,1,Flat,877.23
Allama Iqbal Town,4.6,3,2,18,1,0,1,1,0,0,House,392.69
DHA Phase 7-9,20.4,5,5,2,1,1,0,0,0,1,House,2246.41
Garden Town,9.8,4,4,18,1,0,0,0,0,0,House,942.93
Gulberg I-II,10.2,4,4,5,1,0,0,1,0,0,House,1682.07
DHA Phase 4-6,19.5,5,4,8,1,1,0,0,1,1,House,2661.23
Gulberg I-II,20.2,6,6,35,1,0,1,0,0,0,House,2693.82
Wapda Town,6.8,3,2,0,1,1,0,0,0,0,Flat,748.58
Faisal Town,13.6,4,3,8,1,1,1,0,0,0,House,1124.01
Allama Iqbal Town,14.1,5,5,25,0,1,0,0,0,0,House,1013.02
Johar Town,13.7,4,4,12,1,1,0,0,0,0,House,1367.1
Iqbal Town,6.9,3,3,3,1,1,0,0,1,0,House,564.22
Gulberg I-II,19.6,4,4,5,1,0,0,0,0,0,House,3534.75
Gulberg III-V,9.6,3,2,18,1,0,1,0,0,0,House,1399.25
Samanabad,6.8,4,3,25,0,0,1,0,0,0,House,388.36
DHA Phase 1-3,9.6,3,3,0,0,0,1,0,1,1,Upper Portion,1683.9
DHA Phase 4-6,5.4,4,3,0,1,0,1,0,1,1,Flat,838.43
Gulberg I-II,4.5,2,2,5,1,0,0,0,0,0,Upper Portion,727.73
DHA Phase 1-3,14.0,4,3,3,1,1,1,0,0,1,House,2586.0
DHA Phase 7-9,4.6,2,2,3,0,1,0,1,0,1,Lower Portion,604.45
Valencia,9.8,4,3,3,1,1,0,1,1,1,House,1290.48
Johar Town,10.4,5,5,2,1,1,0,0,0,0,House,1093.14
Samanabad,4.7,2,2,1,0,0,0,1,1,0,Upper Portion,312.63
Allama Iqbal Town,40.5,6,5,35,1,1,0,0,0,0,House,3271.4
Model Town,6.7,4,3,1,0,0,1,0,0,0,House,1003.95
Gulberg III-V,7.2,4,3,2,0,0,0,0,0,0,House,1203.21
Johar Town,7.0,4,4,3,0,0,0,0,1,0,House,670.61
Valencia,7.4,4,3,35,1,0,0,0,0,1,House,848.34
Gulberg III-V,5.1,4,4,18,1,1,1,0,1,0,House,867.84
Garden Town,14.0,4,4,25,1,0,0,1,1,0,House,1944.79
Johar Town,39.7,5,4,1,0,1,1,0,0,0,House,3636.42
Lake City,6.7,3,2,25,1,1,0,0,0,1,Upper Portion,767.25
Johar Town,14.4,4,4,8,1,0,0,1,0,0,House,1317.4
Gulberg III-V,13.8,4,4,3,1,1,0,0,0,0,House,2168.21
Township,19.9,4,4,12,1,1,0,0,0,0,House,1153.28
Wapda Town,10.3,5,4,25,1,0,0,0,0,0,House,809.81
DHA Phase 7-9,6.8,4,3,25,0,0,0,0,0,1,House,880.18
Faisal Town,7.5,4,4,25,1,0,1,0,0,0,Upper Portion,758.08
Bahria Town,14.2,4,4,35,0,1,0,1,0,1,House,1677.64
Samanabad,20.1,5,5,3,1,1,0,0,1,0,Upper Portion,1586.39
Allama Iqbal Town,7.4,4,3,8,0,0,1,0,1,0,Flat,475.15
Johar Town,9.5,3,2,0,1,1,0,0,0,0,Lower Portion,1024.78
DHA Phase 1-3,19.8,4,4,25,1,1,1,0,1,1,House,2572.87
Gulberg III-V,20.0,5,4,2,1,0,1,0,0,0,House,2946.92
Lake City,39.7,6,6,25,1,1,0,0,0,1,House,4547.29
Garden Town,14.2,4,3,5,1,0,0,1,0,0,Upper Portion,1990.47
Gulberg III-V,10.4,5,5,5,0,0,1,0,0,0,House,1417.11
DHA Phase 7-9,9.9,3,2,0,0,0,0,1,1,1,House,1564.55
Allama Iqbal Town,13.8,4,3,5,1,0,0,0,0,0,House,977.34
Shahdara,5.5,3,2,25,0,0,1,1,1,0,Flat,276.45
Bahria Town,9.9,4,3,0,1,0,0,0,0,1,Lower Portion,1081.58
DHA Phase 7-9,14.0,4,3,8,1,0,0,1,0,1,House,1661.26
Gulberg III-V,6.9,4,3,0,0,0,1,0,0,0,Upper Portion,1208.31
DHA Phase 1-3,20.4,6,5,5,1,0,0,0,1,1,Upper Portion,3828.97
Samanabad,10.1,4,4,2,1,0,1,0,0,0,House,760.85
DHA Phase 4-6,20.3,5,5,3,0,1,0,0,0,1,House,3818.48
Valencia,5.3,3,3,25,0,1,0,0,1,1,House,596.58
Gulberg III-V,6.8,3,2,8,0,1,1,0,0,0,Lower Portion,1123.46
Lake City,13.9,5,4,3,1,1,0,0,0,1,House,1653.82
Garden Town,7.3,4,3,12,0,0,0,0,0,0,Lower Portion,775.8
Allama Iqbal Town,13.9,4,4,1,1,0,0,1,0,0,House,1139.99
Gulberg I-II,14.3,4,4,3,1,1,0,1,0,0,House,2204.67
DHA Phase 1-3,5.4,4,4,12,1,0,1,0,0,1,House,1299.24
DHA Phase 7-9,10.1,4,4,3,1,1,0,0,0,1,House,1557.04
Samanabad,10.2,5,5,18,1,1,0,0,0,0,House,656.48
Faisal Town,10.3,4,4,8,1,1,0,0,1,0,House,1014.48
Valencia,20.3,5,4,25,1,1,0,0,0,1,House,1991.27
Valencia,19.9,4,4,35,1,1,0,0,0,1,House,2168.01
Iqbal Town,13.6,5,4,1,1,0,0,0,0,0,House,1181.67
DHA Phase 7-9,13.9,4,4,5,1,1,0,0,1,1,House,2433.51
Samanabad,10.2,4,4,5,1,1,0,0,0,0,House,579.28
Johar Town,20.0,5,4,2,0,1,0,0,0,0,House,1599.91
Johar Town,14.2,5,4,25,1,0,1,0,0,0,House,1196.01
Bahria Town,13.9,4,3,18,1,0,0,0,0,1,House,1769.78
DHA Phase 1-3,20.1,7,7,8,0,0,0,1,0,1,House,3527.68
DHA Phase 7-9,6.7,4,4,12,1,0,0,0,0,1,House,930.13
Wapda Town,20.2,7,6,0,0,1,0,0,0,0,House,2116.16
DHA Phase 4-6,7.0,3,3,12,1,0,1,0,0,1,House,1207.57
Valencia,6.7,4,3,25,1,1,0,0,0,1,House,869.67
Gulberg III-V,6.8,3,3,12,0,0,1,0,0,0,House,1077.26
Johar Town,40.2,5,5,3,1,0,0,0,0,0,House,3793.03
Gulberg III-V,20.0,5,5,18,1,1,0,0,1,0,House,2873.98
Model Town,13.7,4,3,5,1,1,0,0,0,0,House,1901.23
Wapda Town,14.5,4,4,12,1,0,0,0,1,0,House,1521.03
Gulberg III-V,10.2,4,3,8,1,1,0,1,0,0,House,1398.79
Lake City,20.5,6,5,5,1,1,0,0,0,1,House,1433.2
Bahria Town,9.9,3,2,18,1,0,0,0,0,1,House,1242.64
Iqbal Town,10.0,3,2,25,1,0,1,0,0,0,Upper Portion,938.4
Township,7.4,4,3,0,0,0,0,0,0,0,Lower Portion,415.48
Wapda Town,20.0,7,6,35,1,1,0,0,0,0,House,1941.33
Gulberg I-II,14.2,5,4,8,1,0,0,0,0,0,Upper Portion,2269.2
DHA Phase 1-3,9.8,3,2,18,0,0,0,0,0,1,House,1920.65
Gulberg III-V,4.9,3,2,25,1,0,0,0,0,0,House,792.48
Valencia,19.6,5,5,8,1,1,1,0,0,1,Upper Portion,2410.17
DHA Phase 1-3,4.7,3,2,25,1,0,1,0,0,1,Lower Portion,1127.47
Bahria Town,13.5,4,4,2,1,1,0,0,0,1,House,1296.39
Valencia,39.5,6,5,2,1,1,1,0,0,1,Upper Portion,4833.81
Model Town,10.5,5,5,18,1,0,1,1,0,0,House,1254.29
Wapda Town,6.7,4,4,25,1,0,0,0,0,0,House,710.95
DHA Phase 4-6,14.2,5,5,25,1,0,0,0,1,1,House,1933.22
DHA Phase 4-6,20.3,7,7,12,1,1,0,0,0,1,House,2883.56
Wapda Town,10.1,4,4,12,1,1,1,1,0,0,House,941.21
Bahria Town,39.7,7,7,5,1,0,0,0,0,1,House,4654.05
Iqbal Town,5.2,3,2,35,0,0,0,0,0,0,Upper Portion,365.17
Johar Town,10.1,4,3,5,0,0,0,0,1,0,Upper Portion,935.58
Gulberg III-V,14.2,5,4,18,1,1,0,0,0,0,House,2047.63
Allama Iqbal Town,20.3,5,4,12,1,0,0,0,1,0,Upper Portion,1445.02
Allama Iqbal Town,7.5,3,2,12,1,0,0,0,0,0,Upper Portion,631.07
Iqbal Town,20.1,6,5,5,0,0,0,0,0,0,House,1906.72
Gulberg III-V,9.8,3,3,35,1,1,0,1,0,0,House,1387.62
Valencia,10.1,4,3,12,1,1,0,0,0,1,House,1591.3
Model Town,4.6,3,3,35,0,0,1,1,1,0,House,675.0
DHA Phase 4-6,20.4,7,7,0,1,0,0,0,0,1,House,3049.36
Samanabad,6.6,3,3,12,0,1,0,0,0,0,Lower Portion,379.57
DHA Phase 7-9,6.8,4,4,18,0,0,0,0,0,1,House,1003.19
Township,7.3,3,3,18,0,0,0,0,0,0,Upper Portion,354.33
Bahria Town,20.1,5,5,35,1,1,0,0,0,1,House,1999.24
DHA Phase 7-9,13.9,4,3,0,1,0,0,0,1,1,House,1929.99
Lake City,20.0,4,4,0,1,1,1,0,1,1,House,2120.44
Faisal Town,7.4,4,4,8,0,0,0,1,0,0,Flat,728.46
Wapda Town,13.8,4,3,0,1,1,0,0,0,0,House,1449.86
Allama Iqbal Town,10.4,4,3,35,0,1,0,0,0,0,House,688.57
Garden Town,19.6,5,4,3,1,0,0,0,0,0,House,2616.89
Iqbal Town,20.3,7,6,8,1,0,0,0,1,0,House,2090.28
Faisal Town,5.3,4,3,0,0,1,0,0,0,0,Upper Portion,369.83
Gulberg III-V,13.7,5,4,12,1,0,0,0,1,0,House,1776.9
Bahria Town,4.9,2,2,5,1,0,0,1,1,1,House,644.44
Gulberg I-II,9.7,3,3,0,0,0,0,0,0,0,Upper Portion,1649.49
Shahdara,7.2,3,2,5,0,1,0,0,0,0,Flat,342.24
Township,7.0,3,3,5,0,1,0,1,1,0,Flat,430.53
DHA Phase 1-3,10.1,4,3,35,1,1,1,0,0,1,Upper Portion,1810.41
Iqbal Town,13.7,5,4,2,1,1,0,0,0,0,Upper Portion,1265.12
Township,6.7,3,3,12,0,0,0,0,1,0,Lower Portion,401.97
DHA Phase 7-9,13.5,5,4,35,1,0,0,1,0,1,House,1731.82
Lake City,9.8,4,3,25,0,0,0,0,0,1,House,1371.45
Samanabad,5.1,3,2,35,1,0,0,0,0,0,Lower Portion,299.55
DHA Phase 1-3,20.4,7,6,35,1,1,1,1,1,1,House,4464.86
Iqbal Town,7.2,3,2,8,0,0,0,0,0,0,Flat,652.99
Gulberg III-V,9.9,4,3,18,1,0,0,0,0,0,Upper Portion,1769.31
Samanabad,14.5,5,4,1,1,1,0,0,1,0,House,908.25
Shahdara,7.2,3,3,8,0,0,0,0,1,0,Lower Portion,285.76
Township,5.4,4,3,25,0,0,1,0,1,0,Lower Portion,273.12
Bahria Town,10.0,4,4,8,0,1,1,0,1,1,Upper Portion,1046.82
Faisal Town,19.8,4,4,18,1,1,0,0,0,0,House,1614.45
Faisal Town,13.6,4,4,18,1,1,0,1,0,0,House,1172.85
Model Town,14.2,5,5,3,1,1,0,0,0,0,House,1981.52
Allama Iqbal Town,13.6,4,4,25,1,1,0,0,0,0,Upper Portion,981.96
DHA Phase 1-3,6.8,3,3,8,0,0,1,0,0,1,Upper Portion,1305.64
Valencia,10.0,4,4,2,1,1,0,1,0,1,House,1574.25
Gulberg I-II,14.1,4,3,25,1,0,0,1,0,0,House,2606.92
DHA Phase 4-6,5.1,4,3,8,1,0,0,0,1,1,Upper Portion,989.46
DHA Phase 4-6,6.7,3,2,18,0,1,0,1,0,1,Flat,1161.26
Iqbal Town,6.9,4,4,12,0,0,0,0,0,0,House,496.04
Model Town,10.1,5,4,5,1,1,0,1,1,0,House,1118.53
Wapda Town,40.5,5,5,25,1,1,1,1,1,0,House,4740.08
DHA Phase 4-6,5.2,4,4,12,0,0,0,0,0,1,House,855.19
Model Town,10.4,5,4,5,1,1,0,0,0,0,Upper Portion,1298.64
Lake City,7.3,3,3,1,0,0,0,0,0,1,Upper Portion,816.14
Allama Iqbal Town,40.1,6,6,25,0,0,0,0,1,0,House,3111.86
Model Town,4.7,3,2,0,0,0,0,0,0,0,Upper Portion,663.83
Garden Town,10.2,5,5,25,1,1,0,0,0,0,House,1586.62
Faisal Town,14.1,4,3,5,1,1,0,0,0,0,House,1376.13
Valencia,14.1,5,5,12,1,0,1,0,0,1,House,1590.53
Gulberg I-II,10.0,3,3,35,0,0,1,1,0,0,House,1919.69
DHA Phase 1-3,7.0,4,3,2,1,1,1,0,0,1,Lower Portion,1286.08
Faisal Town,9.8,4,3,12,1,0,0,0,1,0,Upper Portion,780.0
DHA Phase 1-3,7.0,4,3,18,0,0,1,0,0,1,Flat,1153.24
Faisal Town,6.7,4,4,18,1,1,0,1,1,0,House,485.6
Lake City,10.3,4,4,12,1,0,1,0,0,1,House,1166.3
Township,6.7,3,2,12,0,0,0,0,0,0,Upper Portion,314.62
Allama Iqbal Town,6.6,3,2,18,0,0,0,1,1,0,Flat,549.92
Shahdara,13.9,5,4,25,1,0,0,1,0,0,House,673.1
Model Town,40.2,6,6,18,1,0,1,0,1,0,House,5515.53
Wapda Town,13.9,4,4,5,0,1,1,0,1,0,House,1577.16
Johar Town,4.8,2,2,35,0,1,0,1,0,0,House,389.71
Bahria Town,5.1,3,2,8,0,0,0,0,0,1,Upper Portion,530.41
Garden Town,19.8,5,4,0,1,1,0,1,0,0,House,2616.7
Faisal Town,7.4,4,4,5,1,0,0,0,0,0,Upper Portion,632.11
Shahdara,5.4,4,3,1,0,0,0,0,0,0,House,330.93
Wapda Town,10.0,5,4,1,0,0,1,0,0,0,House,1091.6
Johar Town,13.8,5,4,3,0,0,0,0,0,0,House,1420.05
Johar Town,14.2,4,4,0,1,0,0,1,0,0,Upper Portion,1502.92
Wapda Town,6.5,3,3,18,0,0,1,0,0,0,House,651.74
Gulberg I-II,5.0,2,2,0,1,0,0,1,0,0,House,746.82
DHA Phase 4-6,39.8,6,6,2,1,1,0,0,1,1,House,6491.26
Model Town,7.4,3,2,1,0,0,0,0,0,0,Upper Portion,996.01
Gulberg III-V,13.5,4,3,0,0,1,1,0,0,0,House,2119.78
Gulberg III-V,14.1,4,3,3,1,1,0,0,0,0,House,1846.66
Gulberg I-II,14.2,5,4,12,0,1,0,1,0,0,Upper Portion,2080.09
DHA Phase 1-3,7.0,3,3,35,0,0,1,0,1,1,House,1282.63
DHA Phase 1-3,6.6,4,3,25,0,0,1,1,0,1,Lower Portion,1524.15
Shahdara,10.5,4,3,25,1,0,0,0,0,0,House,451.74
Johar Town,20.0,6,6,2,1,1,0,1,0,0,House,2369.31
Johar Town,20.1,7,6,3,1,1,0,1,0,0,House,2490.59
Iqbal Town,4.7,3,3,0,1,0,0,0,1,0,House,468.79
Gulberg I-II,7.0,4,3,25,1,0,0,0,0,0,Upper Portion,1078.88
Township,19.9,5,4,0,1,1,0,1,0,0,Upper Portion,1253.77
Allama Iqbal Town,13.6,5,4,12,1,1,0,0,0,0,House,1061.88
DHA Phase 4-6,19.6,4,3,3,1,1,0,1,1,1,House,2978.18
Johar Town,7.3,3,3,3,0,0,0,1,1,0,Lower Portion,678.65
Faisal Town,9.7,4,3,35,0,0,0,0,0,0,Upper Portion,763.62
Township,13.7,5,5,18,1,1,1,0,0,0,House,933.7
Bahria Town,14.0,4,4,25,1,1,0,1,1,1,House,1589.97
Valencia,10.3,5,5,12,1,1,0,1,1,1,House,1329.32
DHA Phase 7-9,4.6,3,2,25,1,1,0,0,0,1,Upper Portion,663.86
Shahdara,10.1,4,4,12,1,1,0,0,0,0,Upper Portion,477.4
Gulberg I-II,6.6,4,4,35,1,0,0,0,1,0,House,1104.01
Township,9.5,3,3,3,0,0,0,0,0,0,Lower Portion,465.04
Garden Town,19.6,5,4,12,1,0,0,0,0,0,House,2242.58
Valencia,10.3,4,3,18,1,0,0,0,0,1,Upper Portion,1642.54
Bahria Town,19.6,4,4,5,1,1,1,0,0,1,House,2233.43
Gulberg I-II,6.5,4,4,25,0,0,0,0,0,0,Flat,1280.92
DHA Phase 7-9,13.9,4,3,35,1,1,0,0,0,1,House,2237.58
Gulberg I-II,40.3,5,5,8,1,1,0,0,0,0,House,6744.21
DHA Phase 7-9,4.8,2,2,5,0,0,0,0,0,1,House,697.13
Allama Iqbal Town,4.9,2,2,8,1,0,0,0,0,0,Flat,365.34
Model Town,9.5,3,2,25,1,1,0,0,1,0,Lower Portion,986.95
DHA Phase 4-6,4.9,2,2,12,1,0,1,0,0,1,House,713.85
Shahdara,14.1,5,5,0,1,1,0,0,0,0,House,734.81
